mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,,,,,
10/12/2017,12:17,3.52,29.534,3.688,1,,,,,,
10/12/2017,12:27,3.52,29.499,3.588,0.999,,,,,,
10/12/2017,12:37,3.52,29.473,3.481,1,,,,,,
10/12/2017,12:47,3.52,29.43,3.568,0.999,,,,,,
10/12/2017,12:57,3.52,29.413,3.661,1,,,,,,
10/12/2017,13:07,3.52,29.353,3.536,1.001,,,,,,
10/12/2017,13:17,3.52,29.396,3.493,1,,,,,,
10/12/2017,13:27,3.52,29.387,3.56,1.001,,,,,,
10/12/2017,13:37,3.52,29.396,3.372,1,,,,,,
10/12/2017,13:47,3.52,29.387,3.315,1.001,,,,,,
10/12/2017,13:57,3.52,29.353,3.346,1.001,,,,,,
10/12/2017,14:07,3.52,29.353,3.433,1.001,,,,,,
10/12/2017,14:17,3.52,29.344,3.346,1.001,,,,,,
10/12/2017,14:27,3.52,29.344,3.104,1.001,,,,,,
10/12/2017,14:37,3.52,29.327,3.337,1.001,,,,,,
10/12/2017,14:47,3.52,29.301,3.486,1,,,,,,
10/12/2017,14:57,3.52,29.31,3.418,1.001,,,,,,
10/12/2017,15:07,3.52,29.301,3.373,1.001,,,,,,
10/12/2017,15:17,3.52,29.301,3.296,1,,,,,,
10/12/2017,15:27,3.52,29.293,3.462,1,,,,,,
10/12/2017,15:37,3.52,29.31,3.445,1,,,,,,
10/12/2017,15:47,3.52,29.293,3.42,1.001,,,,,,
10/12/2017,15:57,3.52,29.276,3.354,1.002,,,,,,
10/12/2017,16:07,3.52,29.224,3.403,1,,,,,,
10/12/2017,16:17,3.52,29.233,3.624,1.001,,,,,,
10/12/2017,16:27,3.52,29.224,3.733,1.001,,,,,,
10/12/2017,16:37,3.52,29.233,3.645,1.001,,,,,,
10/12/2017,16:47,3.52,29.241,3.59,1,,,,,,
10/12/2017,16:57,3.52,29.267,3.571,1.001,,,,,,
10/12/2017,17:07,3.52,29.224,3.444,1,,,,,,
10/12/2017,17:17,3.52,29.241,3.434,1,,,,,,
10/12/2017,17:27,3.52,29.233,3.354,1.001,,,,,,
10/12/2017,17:37,3.52,29.224,3.331,1.001,,,,,,
10/12/2017,17:47,3.52,29.215,3.385,1,,,,,,
10/12/2017,17:57,3.52,29.233,3.303,1.001,,,,,,
10/12/2017,18:07,3.52,29.224,3.392,0.999,,,,,,
10/12/2017,18:17,3.52,29.224,3.224,1,,,,,,
10/12/2017,18:27,3.52,29.172,3.223,1.001,,,,,,
10/12/2017,18:37,3.52,29.215,3.376,1,,,,,,
10/12/2017,18:47,3.52,29.198,3.187,1.001,,,,,,
10/12/2017,18:57,3.52,29.172,3.153,1,,,,,,
10/12/2017,19:07,3.52,29.172,3.504,1,,,,,,
10/12/2017,19:17,3.52,29.138,3.428,1.001,,,,,,
10/12/2017,19:27,3.52,29.138,3.406,1.001,,,,,,
10/12/2017,19:37,3.52,29.147,3.287,1,,,,,,
10/12/2017,19:47,3.52,29.155,3.087,1.001,,,,,,
10/12/2017,19:57,3.52,29.172,3.195,1.001,,,,,,
10/12/2017,20:07,3.52,29.129,3.181,1,,,,,,
10/12/2017,20:17,3.52,29.104,3.121,1.001,,,,,,
10/12/2017,20:27,3.52,29.121,3.204,1.001,,,,,,
10/12/2017,20:37,3.52,29.078,3.085,1.002,,,,,,
10/12/2017,20:47,3.52,29.061,3.243,1.001,,,,,,
10/12/2017,20:57,3.52,29.069,3.125,1.001,,,,,,
10/12/2017,21:07,3.52,29.052,3.477,0.999,,,,,,
10/12/2017,21:17,3.52,29.069,3.27,1,,,,,,
10/12/2017,21:27,3.52,29.026,3.423,1,,,,,,
10/12/2017,21:37,3.52,29.044,3.478,1.001,,,,,,
10/12/2017,21:47,3.52,29.009,3.614,1,,,,,,
10/12/2017,21:57,3.52,29.009,3.567,1,,,,,,
10/12/2017,22:07,3.52,28.992,3.43,1,,,,,,
10/12/2017,22:17,3.52,29.001,3.616,1.001,,,,,,
10/12/2017,22:27,3.52,28.975,3.577,1,,,,,,
10/12/2017,22:37,3.52,28.992,3.488,1.001,,,,,,
10/12/2017,22:47,3.52,28.966,3.521,1,,,,,,
10/12/2017,22:57,3.52,28.975,3.505,1,,,,,,
10/12/2017,23:07,3.52,28.984,3.533,1,,,,,,
10/12/2017,23:17,3.52,28.984,3.592,1,,,,,,
10/12/2017,23:27,3.52,28.992,3.656,1.001,,,,,,
10/12/2017,23:37,3.52,29.001,3.735,0.999,,,,,,
10/12/2017,23:47,3.52,29.009,3.597,1,,,,,,
10/12/2017,23:57,3.52,28.984,3.492,1,,,,,,
11/12/2017,0:07,3.52,29.001,3.631,1,,,,,,
11/12/2017,0:17,3.52,29.001,3.575,1,,,,,,
11/12/2017,0:27,3.52,28.984,3.594,1,,,,,,
11/12/2017,0:37,3.52,29.026,3.624,1,,,,,,
11/12/2017,0:47,3.52,28.984,3.59,1,,,,,,
11/12/2017,0:57,3.52,29.018,3.536,1.001,,,,,,
11/12/2017,1:07,3.52,29.009,3.609,1,,,,,,
11/12/2017,1:17,3.52,29.009,3.576,1,,,,,,
